ID	LPD	FN
JAHEHB01	0	0.0001913519
JAEYGM01	0.0001085703	8.259736e-05
JN-1	0.000147034	4.370367e-05
Gulosibacter	4.936477e-05	0.000141359
Caccosoma	9.803758e-05	9.259496e-05
JAAYSX01	1.196386e-05	0.0001783131
CAG-557	9.530268e-05	9.48389e-05
RGIG3994	0.0001126124	7.746703e-05
RGIG5675	0.0001151898	7.466878e-05
JAGPHI01	6.105357e-05	0.0001287863
CAIPMZ01	0	0.0001898273
Enteromonas	2.955505e-05	0.000159716
NIOZ-UU13	0	0.0001889629
CACXFL01	1.938424e-05	0.0001693284
Palsa-1188	0.0001541614	3.40933e-05
DFXE01	0.0001155907	7.253203e-05
JAAYGY01	0.0001076184	8.025184e-05
JAAYSI01	0.0001719187	1.588733e-05
Desulfarculus	0.0001098207	7.782951e-05
Bacillus_AE	0.0001406177	4.697716e-05
UBA933	0.0001691345	1.821731e-05
SABI01	8.492682e-05	0.000102421
RUG721	5.657653e-05	0.0001306952
JAFEDN01	1.916363e-06	0.000184804
Paenibacillus_D	0.0001126672	7.38975e-05
Paenibacillus_J	5.463911e-05	0.0001315107
S5133MH16	0	0.0001859804
DUPG01	0.0001487197	3.719265e-05
Paucisalibacillus	9.192186e-05	9.389944e-05
HGM11416	0.0001112275	7.385231e-05
UBA1368	0.0001267402	5.789966e-05
Staphylospora	0	0.0001845377
GCA-016699895	1.12358e-05	0.0001728974
JAHDSF01	0	0.0001833072
Mesobacillus	0.0001367532	4.6307e-05
Caldisalinibacter	0.0001442361	3.882219e-05
RGIG8367	0.0001633336	1.970766e-05
CAJMNU01	0.0001330944	4.967288e-05
Pelotomaculum_D	0.0001407435	4.184794e-05
JAEYSJ01	6.828007e-05	0.0001142075
UBA1255	0.0001034103	7.875591e-05
DUOG01	7.817674e-05	0.000103881
ZC3RG03	8.083654e-05	0.000101059
Paenibacillus_K	0.0001408539	4.100266e-05
CAJPSE01	0.0001079713	7.38017e-05
JAGOEF01	0.0001254154	5.555479e-05
DSXH01	0.0001761272	4.501036e-06
CALYBN01	4.452953e-05	0.0001359391
Merdenecus	0.0001218275	5.862591e-05
JAJBTS01	5.684326e-05	0.000123549
JAEWCM01	0.0001291699	5.108835e-05
Crassaminicella_A	0.0001266155	5.34438e-05
Brevibacillus_C	0.0001512831	2.869197e-05
Coleofasciculus	0	0.0001798748
RGIG5021	0.0001236265	5.593698e-05
Caballeronia	6.039373e-06	0.0001734202
Oleidesulfovibrio	0	0.0001787636
